Position,Track Name,Artist,Streams,URL,Date
44,Goodbyes (Feat. Young Thug),Post Malone,443078,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,1/1/2020
45,Had Enough (feat. Quavo & Offset),Don Toliver,431952,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,1/1/2020
46,Death,Trippie Redd,431022,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,1/1/2020
47,MIDDLE CHILD,J. Cole,428798,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,1/1/2020
48,rockstar (feat. 21 Savage),Post Malone,418736,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,1/1/2020
49,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,414501,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,1/1/2020
50,"10,000 Hours (with Justin Bieber)",Dan + Shay,403337,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,1/1/2020
1,The Box,Roddy Ricch,1964762,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,1/2/2020
2,ROXANNE,Arizona Zervas,1314246,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,1/2/2020
3,Circles,Post Malone,1162414,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1/2/2020
4,BOP,DaBaby,1046860,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,1/2/2020
5,Falling,Trevor Daniel,1006501,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,1/2/2020
6,Bandit (with YoungBoy Never Broke Again),Juice WRLD,959264,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,1/2/2020
7,Dance Monkey,Tones And I,924138,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1/2/2020
8,Futsal Shuffle 2020,Lil Uzi Vert,915770,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,1/2/2020
9,everything i wanted,Billie Eilish,830511,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,1/2/2020
10,Adore You,Harry Styles,819263,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,1/2/2020
11,Ballin' (with Roddy Ricch),Mustard,792558,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,1/2/2020
12,Suicidal,YNW Melly,762271,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,1/2/2020
13,Blinding Lights,The Weeknd,756177,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,1/2/2020
14,My Oh My (feat. DaBaby),Camila Cabello,727465,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,1/2/2020
15,Watermelon Sugar,Harry Styles,691459,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,1/2/2020
16,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,691152,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,1/2/2020
17,Don't Start Now,Dua Lipa,686826,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,1/2/2020
18,OUT WEST (feat. Young Thug),JACKBOYS,681454,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,1/2/2020
19,Someone You Loved,Lewis Capaldi,677711,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,1/2/2020
20,hot girl bummer,blackbear,673112,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,1/2/2020
21,Heartless,The Weeknd,653900,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,1/2/2020
22,Memories,Maroon 5,650853,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,1/2/2020
23,No Idea,Don Toliver,645151,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,1/2/2020
24,HIGHEST IN THE ROOM,Travis Scott,637710,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,1/2/2020
25,VIBEZ,DaBaby,589613,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,1/2/2020
26,Lose You To Love Me,Selena Gomez,588757,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,1/2/2020
27,Lucid Dreams,Juice WRLD,587147,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/2/2020
28,Woah,Lil Baby,582503,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,1/2/2020
29,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,582051,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,1/2/2020
30,bad guy,Billie Eilish,573523,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1/2/2020
31,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,559417,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,1/2/2020
32,Suge,DaBaby,555167,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,1/2/2020
33,Robbery,Juice WRLD,542166,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,1/2/2020
34,Ransom,Lil Tecca,508837,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1/2/2020
35,"10,000 Hours (with Justin Bieber)",Dan + Shay,497830,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,1/2/2020
36,Truth Hurts,Lizzo,493507,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,1/2/2020
37,Falling,Harry Styles,484551,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,1/2/2020
38,223's (feat. 9lokknine),YNW Melly,476721,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,1/2/2020
39,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,476471,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,1/2/2020
40,Señorita,Shawn Mendes,466882,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,1/2/2020
41,Goodbyes (Feat. Young Thug),Post Malone,464277,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,1/2/2020
42,Stuck In A Dream (feat. Gunna),Lil Mosey,460937,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,1/2/2020
43,Had Enough (feat. Quavo & Offset),Don Toliver,456924,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,1/2/2020
44,Money In The Grave (Drake ft. Rick Ross),Drake,449438,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,1/2/2020
45,Death,Trippie Redd,448299,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,1/2/2020
46,No Guidance (feat. Drake),Chris Brown,441728,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,1/2/2020
47,Wow.,Post Malone,435919,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,1/2/2020
48,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,434469,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,1/2/2020
49,SUGAR,BROCKHAMPTON,426477,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,1/2/2020
50,Yellow Hearts,Ant Saunders,415818,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,1/2/2020
1,The Box,Roddy Ricch,2278155,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,1/3/2020
2,Yummy,Justin Bieber,1863557,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,1/3/2020
